    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 4630,      10671233,         5328678,           5487,    207344,       16305,        333,                  42883061,                     5225617,                      14618,       269393,         121649,           401
 4631,      10679540,         5332830,           5365,    210207,       16321,        331,                  42901585,                     5229665,                      14931,       269573,         121743,           353
 4632,      10685369,         5335743,           5411,    208215,       16326,        333,                  42920113,                     5232504,                      14925,       269540,         121710,           446
 4633,      10688730,         5337422,           5355,    208477,       16363,        332,                  42938645,                     5234139,                      14713,       269697,         121797,           356
 4634,      10692529,         5339320,           5468,    206550,       16228,        333,                  42957181,                     5235984,                      15249,       269798,         121927,           362
 4635,      10697406,         5341757,           5427,    211715,       16321,        331,                  42975721,                     5238357,                      14871,       269828,         121902,           355
 4636,      10699083,         5342594,           5373,    210790,       16347,        334,                  42994265,                     5239177,                      15072,       269873,         121903,           360
 4637,      10708328,         5347215,           5379,    207051,       16423,        336,                  43012813,                     5243684,                      15562,       269836,         121816,           356
 4638,      10715445,         5350772,           5830,    209076,       16315,        335,                  43031365,                     5247150,                      15551,       269932,         121891,           358
 4639,      10722492,         5354294,           5369,    207964,       16400,        336,                  43049921,                     5250582,                      15278,       270292,         122063,           356
 4640,      10728577,         5357335,           5376,    207667,       16331,        332,                  43068481,                     5253546,                      15145,       269882,         121876,           357
 4641,      10729982,         5358036,           5535,    205546,       16579,        338,                  43087045,                     5254231,                      15097,       270107,         121972,           359
 4642,      10733203,         5359645,           5377,    208434,       16274,        335,                  43105613,                     5255796,                      15075,       270136,         121986,           358
 4643,      10742072,         5364078,           5433,    207092,       16378,        338,                  43124185,                     5260117,                      14722,       270247,         122107,           397
 4644,      10744471,         5365276,           5382,    205565,       16470,        339,                  43142761,                     5261284,                      15008,       270317,         122021,           359
 4645,      10748874,         5367476,           5594,    209725,       16288,        336,                  43161341,                     5263424,                      15165,       270381,         122076,           356
 4646,      10749129,         5367602,           5441,    216980,       16230,        334,                  43179925,                     5263548,                      14841,       270381,         122006,           354
 4647,      10750562,         5368317,           5385,    211235,       16317,        331,                  43198513,                     5264247,                      15470,       270613,         122238,           356
 4648,      10755335,         5370702,           5490,    207320,       16446,        336,                  43217105,                     5266569,                      15186,       270778,         122284,           367
 4649,      10755812,         5370939,           5487,    208543,       16449,        338,                  43235701,                     5266801,                      15009,       270786,         122220,           359
 4650,      10757923,         5371993,           5397,    209998,       16389,        337,                  43254301,                     5267831,                      15394,       270819,         122266,           377
 4651,      10761372,         5373716,           5392,    209008,       16390,        335,                  43272905,                     5269508,                      15127,       270823,         122334,           358
 4652,      10768673,         5377365,           5641,    211329,       16316,        332,                  43291513,                     5273066,                      15235,       270958,         122342,           368
 4653,      10770554,         5378304,           5392,    206632,       16438,        340,                  43310125,                     5273984,                      15737,       271032,         122458,           358
 4654,      10773125,         5379588,           5428,    207801,       16505,        341,                  43328741,                     5275233,                      15389,       271162,         122432,           358
 4655,      10775912,         5380980,           5524,    207166,       16562,        339,                  43347361,                     5276588,                      14926,       271046,         122350,           358
 4656,      10781913,         5383979,           5401,    208328,       16480,        339,                  43365985,                     5279513,                      15058,       271390,         122594,           358
 4657,      10790270,         5388156,           5447,    213658,       16251,        329,                  43384613,                     5283586,                      15224,       270965,         122280,           360
 4658,      10794687,         5390363,           5403,    211021,       16485,        442,                  43403245,                     5285733,                      15171,       271431,         122527,           357
