   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 656,          2609,             322,              3,     15239,         863,         16,                    861985,                        1190,                        391,        30770,          13807,            35
 657,          2612,             322,              3,     15221,         872,         16,                    864613,                        1192,                        393,        30788,          13811,            35
 658,          2617,             323,              3,     15410,         871,         17,                    867245,                        1193,                        429,        30871,          13861,            35
 659,          2620,             323,              3,     15262,         871,         16,                    869881,                        1195,                        395,        30927,          13885,            35
 660,          2629,             326,              3,     15120,         890,         16,                    872521,                        1198,                        399,        31000,          13915,            35
 661,          2634,             327,              4,     15120,         880,         16,                    875165,                        1199,                        398,        31025,          13919,            35
 662,          2637,             327,              3,     15238,         909,         16,                    877813,                        1201,                        401,        31076,          13944,            36
 663,          2640,             327,              3,     15281,         906,         17,                    880465,                        1203,                        401,        31149,          13976,            35
 664,          2643,             327,              3,     15944,         906,         18,                    883121,                        1205,                        406,        31223,          14009,            35
 665,          2646,             327,              3,     16340,         899,         17,                    885781,                        1207,                        401,        31247,          14014,            35
 666,          2649,             327,              3,     15870,         884,         18,                    888445,                        1209,                        422,        31302,          14030,            35
 667,          2652,             327,              3,     15812,         887,         17,                    891113,                        1211,                        404,        31349,          14061,            35
 668,          2657,             328,              3,     15823,         902,         17,                    893785,                        1212,                        407,        31402,          14084,            35
 669,          2660,             328,              3,     15674,         906,         17,                    896461,                        1214,                        406,        31472,          14126,            36
 670,          2663,             328,              3,     15665,         898,         17,                    899141,                        1216,                        412,        31529,          14151,            36
 671,          2666,             328,              3,     15734,         905,         16,                    901825,                        1218,                        411,        31570,          14163,            36
 672,          2671,             329,              3,     15508,         891,         17,                    904513,                        1219,                        413,        31633,          14192,            36
 673,          2680,             332,              3,     15556,         892,         17,                    907205,                        1222,                        412,        31707,          14235,            36
 674,          2683,             332,              4,     15927,         907,         18,                    909901,                        1224,                        634,        31742,          14237,            36
 675,          2686,             332,              4,     16022,         916,         21,                    912601,                        1226,                        434,        31805,          14274,            35
 676,          2689,             332,              4,     15692,         902,         19,                    915305,                        1228,                        415,        31851,          14289,            36
 677,          2692,             332,              3,     15791,         902,         18,                    918013,                        1230,                        419,        31914,          14329,            36
 678,          2695,             332,              3,     15609,         911,         18,                    920725,                        1232,                        687,        31959,          14333,            48
 679,          2698,             332,              5,     15659,         914,         24,                    923441,                        1234,                        574,        32035,          14379,            36
 680,          2703,             333,              4,     15653,         911,         20,                    926161,                        1235,                        424,        32059,          14392,            36
 681,          2706,             333,              3,     15714,         919,         17,                    928885,                        1237,                        421,        32102,          14399,            37
 682,          2709,             333,              3,     15913,         910,         18,                    931613,                        1239,                        425,        32213,          14457,            36
 683,          2712,             333,              3,     15943,         911,         17,                    934345,                        1241,                        424,        32250,          14472,            37
 684,          2715,             333,              6,     16369,         896,         30,                    937081,                        1243,                        779,        32309,          14499,            56
 685,          2718,             333,              5,     16513,         904,         30,                    939821,                        1245,                        766,        32378,          14534,            61
 686,          2723,             334,              6,     15961,         922,         31,                    942565,                        1246,                        707,        32410,          14543,            57
 687,          2730,             336,              6,     16005,         920,         29,                    945313,                        1248,                        772,        32473,          14577,            62
 688,          2735,             337,              6,     16030,         910,         31,                    948065,                        1249,                        807,        32550,          14627,            55
 689,          2740,             338,              6,     16069,         909,         32,                    950821,                        1250,                        696,        32574,          14624,            37
 690,          2743,             338,              4,     16191,         919,         20,                    953581,                        1252,                        503,        32631,          14647,            37
 691,          2746,             338,              4,     16262,         920,         27,                    956345,                        1254,                        663,        32731,          14706,            55
 692,          2749,             338,              7,     16604,         910,         20,                    959113,                        1256,                        435,        32773,          14720,            37
 693,          2754,             339,              4,     16711,         919,         18,                    961885,                        1257,                        440,        32817,          14744,            37
 694,          2757,             339,              4,     16027,         927,         19,                    964661,                        1259,                        436,        32865,          14761,            37
 695,          2766,             342,              3,     16076,         932,         17,                    967441,                        1262,                        441,        32901,          14773,            37
 696,          2769,             342,              3,     16085,         932,         18,                    970225,                        1264,                        439,        32942,          14796,            37
 697,          2772,             342,              3,     16034,         931,         17,                    973013,                        1266,                        544,        32977,          14802,            37
 698,          2775,             342,              4,     16077,         930,         20,                    975805,                        1268,                        445,        33093,          14870,            37
 699,          2780,             343,              4,     16060,         924,         18,                    978601,                        1269,                        443,        33129,          14879,            37
 700,          2787,             345,              4,     16124,         932,         18,                    981401,                        1271,                        447,        33205,          14925,            37
 701,          2790,             345,              4,     16164,         937,         17,                    984205,                        1273,                        445,        33232,          14931,            38
 702,          2801,             349,              4,     16163,         934,         18,                    987013,                        1277,                        477,        33287,          14954,            38
 703,          2804,             349,              3,     16135,         949,         17,                    989825,                        1279,                        971,        33345,          14995,            39
 704,          2807,             349,              4,     16169,         932,         28,                    992641,                        1281,                        655,        33399,          15013,            58
 705,          2810,             349,              6,     16432,         943,         31,                    995461,                        1283,                        817,        33448,          15031,            57
 706,          2817,             351,              6,     16177,         934,         30,                    998285,                        1285,                        782,        33490,          15041,            87
 707,          2820,             351,              6,     16240,         934,         19,                   1001113,                        1287,                        476,        33573,          15095,            38
 708,          2825,             352,              4,     16387,         939,         25,                   1003945,                        1288,                        464,        33637,          15135,            38
 709,          2828,             352,              4,     16413,         941,         18,                   1006781,                        1290,                        461,        33711,          15171,            38
 710,          2831,             352,              4,     16348,         964,         18,                   1009621,                        1292,                        457,        33730,          15162,            38
 711,          2834,             352,              3,     16479,         957,         18,                   1012465,                        1294,                        460,        33794,          15191,            38
 712,          2837,             352,              3,     16859,         945,         18,                   1015313,                        1296,                        460,        33830,          15213,            39
 713,          2840,             352,              4,     16933,         949,         19,                   1018165,                        1298,                        463,        33883,          15226,            38
 714,          2845,             353,              3,     16914,         957,         19,                   1021021,                        1299,                        462,        33960,          15271,            41
 715,          2852,             355,              4,     16920,         955,         18,                   1023881,                        1301,                        463,        34038,          15316,            38
 716,          2855,             355,              3,     16574,         957,         17,                   1026745,                        1303,                        467,        34071,          15321,            38
 717,          2858,             355,              3,     16527,         968,         17,                   1029613,                        1305,                        467,        34122,          15346,            38
 718,          2861,             355,              4,     16534,         956,         18,                   1032485,                        1307,                        470,        34177,          15367,            38
 719,          2864,             355,              4,     16515,         952,         17,                   1035361,                        1309,                        468,        34237,          15404,            39
 720,          2867,             355,              3,     16647,         942,         17,                   1038241,                        1311,                        533,        34266,          15403,            39
 721,          2870,             355,              4,     16691,         946,         17,                   1041125,                        1313,                        473,        34331,          15434,            39
 722,          2873,             355,              3,     17395,         980,         19,                   1044013,                        1315,                        473,        34372,          15447,            39
 723,          2878,             356,              3,     17503,         985,         19,                   1046905,                        1316,                        476,        34446,          15503,            39
 724,          2881,             356,              3,     16861,         969,         18,                   1049801,                        1318,                        475,        34479,          15500,            39
 725,          2884,             356,              4,     16783,         964,         18,                   1052701,                        1320,                        500,        34524,          15519,            39
 726,          2887,             356,              4,     17480,         971,         19,                   1055605,                        1322,                        478,        34617,          15579,            41
 727,          2890,             356,              4,     17810,         965,         18,                   1058513,                        1324,                        479,        34649,          15587,            39
 728,          2893,             356,              4,     17024,         962,         18,                   1061425,                        1326,                       1138,        34705,          15604,            56
 729,          2896,             356,              6,     17059,         966,         48,                   1064341,                        1328,                        719,        34765,          15637,            40
 730,          2899,             356,              4,     17648,         969,         22,                   1067261,                        1330,                        529,        34841,          15676,            39
 731,          2902,             356,              4,     17702,         969,         19,                   1070185,                        1332,                        488,        34856,          15677,            39
 732,          2905,             356,              4,     17164,         992,         19,                   1073113,                        1334,                        530,        34925,          15711,            39
 733,          2908,             356,              4,     17293,         983,         19,                   1076045,                        1336,                        486,        34983,          15743,            39
 734,          2913,             357,              4,     17320,         983,         19,                   1078981,                        1337,                        493,        35040,          15772,            39
 735,          2916,             357,              4,     17201,         988,         19,                   1081921,                        1339,                        490,        35087,          15795,            39
