   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 643,        207913,          102996,            109,     22133,        1815,         40,                    828185,                      102211,                        414,        28403,          12402,            39
 644,        207958,          103017,            109,     22559,        1821,         40,                    830761,                      102232,                        417,        28490,          12431,            38
 645,        208091,          103082,            109,     22688,        1836,         38,                    833341,                      102296,                        417,        28497,          12439,            46
 646,        208960,          103515,            110,     21995,        1822,         40,                    835925,                      102721,                        425,        28513,          12451,            39
 647,        210163,          104115,            111,     23308,        1819,         40,                    838513,                      103307,                        423,        28584,          12473,            39
 648,        210694,          104379,            111,     22420,        1871,         41,                    841105,                      103566,                        421,        28674,          12523,            40
 649,        211331,          104696,            111,     22328,        1864,         40,                    843701,                      103877,                        421,        28637,          12491,            38
 650,        211346,          104702,            111,     22645,        1858,         40,                    846301,                      103883,                        429,        28681,          12498,            39
 651,        212137,          105096,            111,     22455,        1865,         41,                    848905,                      104271,                        424,        28680,          12480,            39
 652,        212738,          105395,            114,     22608,        1871,         41,                    851513,                      104564,                        427,        28857,          12592,            39
 653,        213643,          105846,            112,     22306,        1854,         40,                    854125,                      105007,                        532,        28932,          12612,            66
 654,        213790,          105918,            213,     23027,        1824,         72,                    856741,                      105076,                        552,        28926,          12599,            40
 655,        214127,          106085,            112,     23043,        1819,         44,                    859361,                      105239,                        503,        28944,          12622,            40
 656,        215322,          106681,            113,     23210,        1838,         42,                    861985,                      105822,                        431,        29015,          12648,            40
 657,        216175,          107106,            116,     22919,        1872,         41,                    864613,                      106241,                        432,        29047,          12670,            39
 658,        216690,          107362,            114,     22561,        1895,         42,                    867245,                      106493,                        436,        29140,          12716,            39
 659,        217099,          107565,            114,     23226,        1896,         41,                    869881,                      106692,                        435,        29214,          12727,            40
 660,        217574,          107801,            116,     24240,        1843,         42,                    872521,                      106923,                        436,        29175,          12730,            39
 661,        217781,          107903,            114,     23464,        1829,         41,                    875165,                      107022,                        439,        29242,          12745,            39
 662,        218204,          108113,            114,     23423,        1888,         41,                    877813,                      107227,                        438,        29248,          12706,            39
 663,        219109,          108564,            117,     22913,        1864,         41,                    880465,                      107668,                        441,        29363,          12801,            40
 664,        219186,          108601,            115,     23310,        1904,         41,                    883121,                      107705,                        444,        29420,          12812,            40
 665,        219393,          108703,            115,     23369,        1881,         41,                    885781,                      107804,                        442,        29456,          12844,            40
 666,        220352,          109181,            144,     24324,        1849,         67,                    888445,                      108271,                        601,        29514,          12882,            41
 667,        220571,          109289,            118,     23968,        1864,         44,                    891113,                      108376,                        446,        29582,          12905,            40
 668,        220934,          109469,            116,     23250,        1939,         42,                    893785,                      108552,                        453,        29597,          12921,            40
 669,        222139,          110070,            117,     23398,        1891,         42,                    896461,                      109138,                        448,        29495,          12835,            40
 670,        222414,          110206,            119,     23331,        1881,         42,                    899141,                      109271,                        450,        29725,          12941,            40
 671,        223165,          110580,            118,     23153,        1916,         42,                    901825,                      109638,                        456,        29707,          12933,            41
 672,        223912,          110952,            117,     23373,        1870,         42,                    904513,                      110003,                        457,        29824,          12995,            41
 673,        224155,          111072,            118,     23077,        1908,         42,                    907205,                      110120,                        454,        29870,          13015,            40
 674,        224226,          111106,            118,     22908,        1942,         43,                    909901,                      110154,                        458,        29876,          12995,            41
 675,        224229,          111106,            118,     22982,        1938,         42,                    912601,                      110156,                        460,        29927,          13036,            40
 676,        224936,          111458,            118,     23095,        1893,         43,                    915305,                      110501,                        532,        29979,          13074,            57
 677,        225273,          111625,            161,     23697,        1943,         60,                    918013,                      110664,                        748,        29981,          13051,            56
 678,        225428,          111701,            122,     24367,        1926,         45,                    920725,                      110737,                        463,        30126,          13135,            42
 679,        226275,          112123,            119,     24018,        1942,         43,                    923441,                      111152,                        462,        30151,          13178,            41
 680,        227528,          112748,            119,     24200,        1925,         42,                    926161,                      111762,                        466,        30270,          13205,            41
 681,        228613,          113289,            120,     23641,        1954,         43,                    928885,                      112291,                        468,        30182,          13133,            41
 682,        228832,          113397,            120,     23779,        1954,         44,                    931613,                      112396,                        466,        30270,          13183,            41
 683,        229967,          113963,            121,     23828,        1914,         43,                    934345,                      112948,                        466,        30317,          13202,            42
 684,        230214,          114085,            121,     24080,        1972,         43,                    937081,                      113067,                        503,        30451,          13286,            42
 685,        230597,          114275,            121,     24488,        1958,         45,                    939821,                      113253,                        474,        30478,          13293,            42
 686,        230882,          114416,            121,     23829,        1959,         45,                    942565,                      113391,                        470,        30458,          13290,            41
 687,        231717,          114832,            188,     23974,        1970,         44,                    945313,                      113800,                        495,        30550,          13347,            45
 688,        232430,          115187,            124,     24094,        1990,         51,                    948065,                      114148,                        474,        30620,          13337,            42
 689,        232465,          115203,            122,     25032,        1942,         45,                    950821,                      114164,                        482,        30643,          13352,            42
 690,        232622,          115280,            122,     24443,        1937,         44,                    953581,                      114238,                        486,        30663,          13381,            42
 691,        233759,          115847,            123,     25670,        1914,         44,                    956345,                      114790,                        477,        30804,          13451,            42
 692,        233952,          115942,            123,     24770,        1944,         44,                    959113,                      114881,                        480,        30829,          13457,            42
 693,        235161,          116545,            123,     24613,        1937,         44,                    961885,                      115467,                        486,        30878,          13452,            42
 694,        235992,          116959,            124,     24702,        2007,         44,                    964661,                      115873,                        561,        30886,          13475,            42
