    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 2938,         11306,            1248,             16,     81598,        3926,         78,                  17269565,                        5365,                       8391,       170320,          78158,           172
 2939,         11309,            1248,             16,     81537,        3921,         85,                  17281321,                        5367,                       7762,       170377,          78195,           172
 2940,         11312,            1248,             16,     81652,        3923,         80,                  17293081,                        5369,                       7931,       170447,          78215,           171
 2941,         11315,            1248,             16,     82714,        3909,         84,                  17304845,                        5371,                       7777,       170531,          78277,           173
 2942,         11318,            1248,             16,     83058,        3906,         80,                  17316613,                        5373,                       7901,       170602,          78310,           173
 2943,         11323,            1249,             16,     83109,        3913,         81,                  17328385,                        5374,                       7784,       170668,          78343,           173
 2944,         11328,            1250,             15,     84164,        3924,         80,                  17340161,                        5375,                       8045,       170700,          78349,           172
 2945,         11337,            1253,             16,     83946,        3927,         84,                  17351941,                        5378,                       7807,       170777,          78385,           173
 2946,         11340,            1253,             16,     83643,        3931,         81,                  17363725,                        5380,                       8208,       170840,          78422,           173
 2947,         11343,            1253,             16,     83619,        3946,         87,                  17375513,                        5382,                       7815,       170907,          78446,           219
 2948,         11346,            1253,             16,     81118,        3963,         81,                  17387305,                        5384,                       8406,       170959,          78467,           175
 2949,         11349,            1253,             16,     80749,        3965,         82,                  17399101,                        5386,                       7870,       171035,          78499,           173
 2950,         11352,            1253,             16,     79962,        3927,         78,                  17410901,                        5388,                       8239,       171112,          78548,           173
 2951,         11357,            1254,             16,     79987,        3927,         82,                  17422705,                        5389,                       7884,       171165,          78569,           174
 2952,         11366,            1257,             16,     81267,        3924,         83,                  17434513,                        5392,                       8135,       171252,          78600,           173
 2953,         11369,            1257,             16,     81472,        3925,         83,                  17446325,                        5394,                       7897,       171334,          78638,           173
 2954,         11372,            1257,             16,     84506,        3954,         81,                  17458141,                        5396,                       8721,       171359,          78652,           174
 2955,         11375,            1257,             16,     85008,        3937,         88,                  17469961,                        5398,                       8016,       171408,          78677,           174
 2956,         11380,            1258,             16,     86010,        3942,         86,                  17481785,                        5399,                       8040,       171491,          78713,           173
 2957,         11387,            1260,             16,     86121,        3943,         85,                  17493613,                        5401,                       7941,       171547,          78736,           176
 2958,         11392,            1261,             17,     82597,        3961,         82,                  17505445,                        5402,                       8453,       171612,          78767,           173
 2959,         11395,            1261,             16,     80879,        3946,         82,                  17517281,                        5404,                       7881,       171689,          78816,           175
 2960,         11398,            1261,             16,     81197,        3974,         80,                  17529121,                        5406,                       8407,       171767,          78844,           177
 2961,         11401,            1261,             16,     81735,        3961,         87,                  17540965,                        5408,                       7879,       171807,          78859,           175
 2962,         11404,            1261,             16,     81605,        3952,         78,                  17552813,                        5410,                       8347,       171915,          78913,           174
 2963,         11407,            1261,             16,     80834,        3977,         83,                  17564665,                        5412,                       7898,       171952,          78920,           175
 2964,         11412,            1262,             16,     81138,        3950,         80,                  17576521,                        5413,                       8101,       172049,          78983,           174
 2965,         11415,            1262,             16,     81300,        3963,         84,                  17588381,                        5413,                       7900,       172057,          78970,           175
 2966,         11418,            1262,             16,     81174,        3979,         79,                  17600245,                        5416,                       8416,       172149,          79015,           173
 2967,         11423,            1263,             16,     81133,        3983,         83,                  17612113,                        5417,                       7911,       172213,          79055,           174
 2968,         11428,            1264,             16,     81633,        3945,         79,                  17623985,                        5418,                       8087,       172256,          79073,           174
 2969,         11431,            1264,             16,     81738,        3957,         83,                  17635861,                        5420,                       7982,       172360,          79127,           174
 2970,         11434,            1264,             16,     82035,        3976,         81,                  17647741,                        5422,                       7995,       172368,          79127,           177
 2971,         11437,            1264,             16,     81757,        3960,         84,                  17659625,                        5424,                       7977,       172485,          79200,           174
 2972,         11442,            1265,             16,     85190,        3951,         85,                  17671513,                        5425,                       8122,       172557,          79230,           175
 2973,         11449,            1267,             16,     85261,        3964,         86,                  17683405,                        5427,                      10979,       172600,          79244,           175
 2974,         11452,            1267,             16,     81102,        3986,         83,                  17695301,                        5429,                       8053,       172683,          79281,           175
 2975,         11455,            1267,             16,     81106,        3985,         82,                  17707201,                        5431,                       8035,       172718,          79284,           178
 2976,         11458,            1267,             16,     82294,        3980,         85,                  17719105,                        5433,                       8382,       172819,          79350,           192
 2977,         11461,            1267,             16,     82397,        3988,        357,                  17731013,                        5435,                       8026,       172852,          79359,           176
 2978,         11464,            1267,             16,     84120,        4008,         88,                  17742925,                        5437,                       8105,       172946,          79404,           176
 2979,         11467,            1267,             16,     83137,        4010,         87,                  17754841,                        5439,                       8061,       172990,          79417,           175
 2980,         11470,            1267,             17,     83266,        3980,         95,                  17766761,                        5441,                       8178,       173100,          79481,           174
 2981,         11475,            1268,             16,     81642,        3964,         82,                  17778685,                        5442,                       8117,       173117,          79486,           196
 2982,         11478,            1268,             19,     81984,        3976,         87,                  17790613,                        5444,                       8121,       173167,          79492,           175
 2983,         11481,            1268,             17,     81988,        3976,         85,                  17802545,                        5446,                       8833,       173250,          79541,           213
 2984,         11486,            1269,             21,     82642,        3971,        106,                  17814481,                        5447,                       8206,       173339,          79590,           175
 2985,         11489,            1269,             17,     82317,        3998,         83,                  17826421,                        5449,                       8710,       173420,          79632,           175
 2986,         11492,            1269,             16,     82654,        4015,         86,                  17838365,                        5451,                      10130,       173429,          79624,           176
 2987,         11495,            1269,             16,     82939,        4007,         88,                  17850313,                        5453,                       8582,       173533,          79681,           176
